Gene	TPM
YBL005W-A	12.4551
ATP16	11.5831
COX13	11.3632
ERO1	11.7604
KSH1	11.3477
HDA1	7.82998
COX8	10.488
YLR154W-F	11.2489
NHP6B	12.1082
RAD28	8.6147
YBR255C-A	8.79874
PMP2	13.3368
ARK1	9.13275
SWI1	9.20186
YDR261W-B	12.7187
PUP2	12.6908
KRE1	11.8734
EGT2	12.4957
EGT2	12.4957
YCL002C	9.46633
ERD2	9.73894
